codice;famiglia olfattiva;Sottofamiglia;prezzo basso €./kg.;prezzo medio €./kg.;prezzo top €./kg.;descrizione;materie_prime;colonna1;colonna2;colonna3;colonna4;colonna5
100;Agrumata;Agrumata;40;60;190;Essenza classica agrumata;Bergamotto, Limone, Mandarino, Arancia;bergamotto;limone;mandarino;arancia;
101;Agrumata;Agrumata Speziata;50;70;200;Agrumi con accenti caldi;Zenzero, Pepe Rosa, Cardamomo;zenzero;pepe_rosa;cardamomo;;
102;Agrumata;Agrumata Aromatica;60;80;210;Agrumi ed erbe officinali;Lavanda, Rosmarino, Timo, Verbena;lavanda;rosmarino;timo;verbena;
103;Agrumata;Agrumata Legnosa;80;100;230;Agrumi con fondo legnoso secco;Cedro, Sandalo, Petitgrain, Agrumi;cedro;sandalo;petitgrain;agrumi;
104;Floreale;Monofloreale;30;40;100;Focus su un singolo fiore;Rosa, Mughetto, Gelsomino, Tuberosa;rosa;mughetto;gelsomino;tuberosa;
105;Floreale;Floreale Muschiata;40;50;110;Fiori delicati e muschi;Muschio Bianco, Iris, Peonia;muschio_bianco;iris;peonia;;
106;Floreale;Bouquet Floreale;50;60;120;Composizione di più fiori;Mix di Fiori Bianchi, Rosa, Ylang Ylang, Giglio;mix_di_fiori_bianchi;rosa;ylang_ylang;giglio;
107;Floreale;Floreale Aldeidica;60;70;130;Fiori con proiezione metallica/sapone;Aldeidi, Rosa di Maggio, Iris;aldeidi;rosa_di_maggio;iris;;
108;Floreale;Floreale Legnosa Muschiata;80;90;150;Fiori nobili, legni e muschi;Sandalo, Muschio, Gardenia, Iris;sandalo;muschio;gardenia;iris;
109;Floreale;Floreale Fruttata;90;100;160;Fiori con note zuccherine di frutta;Pesca, Pera, Albicocca, Frutti_rossi;pesca;pera;albicocca;frutti_rossi;
110;Floreale;Floreale Marina;80;90;150;Fiori acquatici e trasparenti;Ninfea, Loto, Note Ozoniche;ninfea;loto;note_ozoniche;;
111;Fougere;Fougere Ambrata Dolce;50;60;120;Fougere con anima gourmand;Vaniglia, Fava Tonka, Benzoino, Lavanda;vaniglia;fava_tonka;benzoino;lavanda;
112;Fougere;Fougere Aromatica;70;80;140;Fougere con prevalenza di erbe;Salvia Sclarea, Artemisia, Menta;salvia_sclarea;artemisia;menta;lavanda;
